No,X,Y,BalanceN,BalanceP,BalanceK
5008,806666,9703660,-21.21266264,13.57712909,-36.73264201
5017,806666,9703660,-31.21489364,11.79103409,-45.56292401
5026,806666,9703660,-35.88879164,10.95641709,-49.68918601
5035,806666,9703660,-26.56103964,12.62207009,-41.45435601
5007,759487,9748300,-52.1144238,14.1515101,-38.84158103
5016,759487,9748300,-62.4242318,12.2877611,-48.05577503
5025,759487,9748300,-63.5763418,12.0794891,-49.08545103
5034,759487,9748300,-74.1037668,10.1764001,-58.49413603
42,880049,9754050,-40.85211104,10.51655349,-50.5541235
43,880049,9754050,-40.85211104,10.51655349,-50.5541235
44,880042,9754150,-39.11627704,10.82279049,-48.91448587
45,880042,9754150,-42.02045104,10.31043449,-51.44752787
46,880042,9754150,-30.11465404,12.41086449,-41.06320687
47,880042,9754150,-35.08715504,11.53361149,-45.40025587
48,880042,9754150,-36.74876004,11.24046949,-46.84952087
49,880049,9754050,-34.59481704,11.62047049,-45.0964675
50,880049,9754050,-34.59481704,11.62047049,-45.0964675
51,880049,9754050,-25.16862504,13.28344649,-36.8748735
52,880049,9754050,-25.99061904,13.13842949,-37.5918235
53,880042,9754150,-23.72579904,13.53799049,-35.49080087
54,880042,9754150,-33.78939204,11.76256349,-44.26833887
55,880042,9754150,-32.33187904,12.01969949,-42.99708587
56,880049,9754050,-34.72833004,11.59691549,-45.2129185
5005,880168,9753490,-19.45156933,14.25290129,-32.16790815
5014,880168,9753490,-31.78958733,12.08210729,-42.90010315
5023,880168,9753490,-32.47334233,11.96180529,-43.49486515
5032,880168,9753490,-34.86487633,11.54103029,-45.57513515
4515,865499,9832310,-30.06005192,12.31172004,-41.52496898
4517,865499,9832310,-37.06982592,11.06189704,-47.70397398
4519,865499,9832310,-36.56735592,11.15148604,-47.26105398
4521,865499,9832310,-41.99187892,10.18430804,-52.04268598
5003,865505,9834840,-25.41573949,12.94249561,-38.12757223
5012,865505,9834840,-32.91737749,11.58071361,-44.86009123
5021,865505,9834840,-32.18851649,11.71302461,-44.20595823
